state,latitude,longitude,pop
Assam,26.244156,92.537842,31205576
Chhattisgarh,21.295132,81.828232,25545198
Gujarat,22.309425,72.13623,60439692
Haryana,29.238478,76.431885,25351462
Himachal Pradesh,32.084206,77.571167,6864602
Karnataka,15.317277,75.71389,61095297
Kerala,10.850516,76.27108,33406061
Madhya Pradesh,23.473324,77.947998,72626809
Maharashtra,19.601194,75.552979,112374333
Odisha,20.94092,84.803467,41974218
Rajasthan,27.391277,73.432617,68548437
Tamil Nadu,11.059821,78.387451,72147030
Telangana,17.123184,79.208824,35200000
Tripura,23.745127,91.746826,3673917
Uttar Pradesh,28.207609,79.82666,199812341
West Bengal,22.978624,87.747803,91276115
